,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
pct_locataires,-0.18967744755920563,0.05799484177031607,-0.011008779560978862,0.024343146121914613,-0.05303230737648808,0.058018924840697136,-0.01829162924594358,-0.011980081004403537,-0.06495648746469068,0.052505495648294306,-0.06227912862658888,-0.052056849135390035,0.007483153362500835
pct_hlm,-0.12246078106752194,0.12996091882407704,0.08164252586028883,0.11208717359530809,0.0041832415268701064,-0.0682816679503057,0.07484061429182373,-0.09880873513052776,-0.02130593340608744,0.1736405696833809,-0.06264233071797537,0.008030263918540628,0.04630364763002354
pct_logvac,-0.024121643848290717,0.04870906444181855,-0.14002194962967635,-0.12228781717172066,0.039858784858996896,-0.008524116424423621,-0.21564173455750496,-0.18728712855919039,-0.11165460439652787,-0.29857318785868975,0.023544705768715757,0.006733726202782342,0.06919126942001491
pct_maison,0.19104312827110195,0.03295612351915578,0.02942246233688769,-0.05379827928032334,0.06279309516807742,0.028631941292392396,0.03974385770062586,0.017951913805263436,0.023833657948591682,-0.0673351532612265,0.0799478269052424,0.050832898859906085,-0.015150490195259547
pct_appart,-0.18993744216885142,-0.03301226294186845,-0.02894704065764576,0.058231784723200175,-0.06512404217330107,-0.03039883929100987,-0.03978266739710644,-0.022949490564683067,-0.034969088091961184,0.068604270957354,-0.07917154230533216,-0.049073560221471677,0.02100551678582946
pct_petits_logements,-0.1624897654440069,-0.07875061954387429,-0.070859298315923,-0.1099092847331068,0.004186909391694632,0.06450235430256468,-0.1266542315110882,0.13236168830746997,0.09694004187582579,-0.07066735713325994,0.045038857764912434,-0.06944270373366335,-0.08709602324009988
pct_grands_logements,0.16734029137056788,-0.05440347353550115,0.0048617642435777085,-0.10119019208455872,0.15880697676728364,-0.0011832815819792504,0.13574616232508402,-0.03323905095789911,-0.04836164710562437,0.00713876457655549,0.0463173214151663,0.039084839861543166,-0.003547238550604806
pct_logements_anciens,0.05089342365225903,-0.02689370713973575,-0.1273940744581512,-0.26809486859011933,0.13057431126890787,-0.10574313811812507,-0.20235066504622432,-0.11486690673118177,-0.11416895484530898,-0.12858536466008585,0.09685312486854056,0.06753815689772491,0.06391605947506426
pct_logements_recents,0.03599762576253432,-0.02964342063227213,0.12838348868496738,-0.06862283454498165,-0.17430188047439388,0.14121116158270147,0.17703032167060598,0.20592690666304045,-0.047683008535136684,0.14844818046324174,-0.13412846837532258,-0.18150871349068873,0.05951539444021041
pct_voiture_0,-0.18623824509182296,-0.01679501839614437,-0.05460749278796494,-0.03957511861241525,0.04390580750603136,-0.07276340391141052,-0.13148886409246213,-0.033412930144726745,0.013830001252569942,-0.022187569098891625,0.07073774369937774,0.011239157371553636,-0.027299903212175028
pct_voiture_2plus,0.19075626027746131,-0.007501913282685833,0.08471592272585499,-0.06835776964028493,0.031236213680848047,0.03596659713357974,0.12174987165016228,0.024969792569776064,-0.011752303434846338,-0.01739485729781735,0.005936318517968287,0.014361455242581124,-0.015668915226337413
surface_moyenne,0.1943571051418082,0.0034974971327369764,0.03469698020284833,-0.02508049825832663,0.10002951776611285,-0.004263470257555327,0.12733385321485607,-0.0626260206379637,-0.04781586038160552,0.003200715042378774,0.0257373616150499,0.06512738942804507,0.007914071517215258
pct_suroccupation,-0.13266810490755956,-0.036461657423496975,-0.013951847751858577,-0.07291417664929252,0.06262398672061201,-0.05006703134264904,-0.016567836359149886,0.05733159712360611,0.241018342660832,-0.10098163315754526,0.0998486626391577,-0.05899238582570337,-0.16607104720665616
pct_chauffage_elec,0.014527668623647178,-0.07970796071544561,-0.06155981110563396,-0.13744568806607216,-0.20407529973453584,0.06700271656504318,0.07141964901187926,0.38717525058035457,-0.04248470827684243,-0.13153003996052431,0.1829372581236636,-0.26762196236763497,0.09491250012489269
pct_chauffage_fioul,0.12711846045410624,0.017356554528616938,-0.043270916719436156,-0.1639049814843025,0.12266779908524823,-0.11119765298060505,-0.13462711745907255,-0.08642497938375145,0.07295884580544344,-0.0032668228288706257,-0.049442306183153796,-0.027899650251169437,-0.02384724176146376
pct_chauffage_gaz_ville,-0.13730842667676046,0.014596278640912995,0.056939352458606596,0.2640975188371325,0.02230703366620324,0.04409728142988326,0.07063735101228241,-0.21815582824444904,-0.00678638941665312,0.03027545956026348,-0.11796758574426221,0.18880370187037496,-0.06320395471143365
pct_chauffage_gaz_bouteille,0.10792990722000297,0.014151666178520862,-0.013427131903521265,-0.19297262709127447,0.07080106808389215,-0.08788894735472028,-0.0351999399922765,0.08650079057582682,0.014739922429385138,0.08565797422898064,0.08820877812374239,-0.12826517803651372,0.0805521600288269
pct_chauffage_autre,0.1498147791813504,0.04975553571206089,-0.01012315624673635,-0.215200451924028,0.10384226323009703,-0.07923332671001637,-0.1270644544592541,0.012500482309347336,0.015343834826585504,0.08093782091780698,0.032665168026748195,-0.018857396843865618,0.014439073302236767
pct_garage,0.16756093414637643,-0.0445372336329643,0.08340515699727012,0.04373606097938457,-0.04577745505843251,0.058305298270812767,0.11485639987125008,0.08558470760051237,0.07774935454973245,0.057316444359799684,-0.06935968758379463,-0.049036440885044955,-0.008011057775955843
nb_pieces_moyen,0.18983550435252708,0.028597470913611003,0.04856432090219938,-0.007259281893929517,0.11788377344174054,0.012266003483681504,0.11229470169304001,-0.10220317805664775,-0.0333383466635543,0.0015922463948696095,0.03978028710846526,0.10125696387018439,0.002294711395549498
pct_studios,-0.15081501120120266,-0.08157846355463057,-0.059842894413190274,-0.10599571926186875,0.05349205574746525,0.10473833744231453,-0.11053691649839988,0.13186143229378874,0.14796454435415038,-0.07086626797270912,0.03447952519459401,-0.07463046057099214,-0.15273753702608608
pct_logements_5p_plus,0.18501086319057697,0.003188579908715382,0.0464200960721223,-0.038696754481604596,0.13971972158152052,0.052246813491147646,0.09020687978703201,-0.08582321715494215,-0.010348581423840299,-0.025306447445536732,0.053539615173502246,0.10692273547354483,-0.04203665754400523
bpe_total_pour1000,-0.028031819175875713,-0.03110718389075206,-0.21540087531504948,-0.17546463939487217,-0.3037093491518002,0.02344303189238091,0.18917854336138498,-0.15894681297336014,0.007184995492948023,-0.03554769154334289,0.11172556173202924,0.1372704605583127,-0.033251679168693635
bpe_A_services_pour1000,-0.0006321038751755794,-0.03161601910886604,-0.16480917985656765,-0.22572017654554064,-0.2927559539969403,-0.06311119134671507,0.18441055912430473,-0.024251348535252272,-0.030090051328856744,-0.09022748962055137,0.11720213437265592,0.130687434005387,-0.0606339544354889
bpe_B_commerces_pour1000,-0.042920810922658564,-0.02987438258961728,-0.18702696055904514,-0.1274348088115259,-0.25730297416119785,0.04347323371105857,0.14898650253861806,-0.1433354968668583,-0.06803614990014584,-0.11059798064345049,0.05650302104620061,0.2225743914236183,-0.08150349467617582
bpe_C_enseignement_pour1000,-0.017601429744224933,0.020235094218854128,-0.08858039159672686,-0.11130644295238076,0.045408291636467896,0.22865410560576802,0.023991887607969213,-0.26651035989335053,0.194518305732121,0.01438532790699195,0.09547387580041963,-0.35309570267918794,0.08999240318243851
bpe_D_sante_pour1000,-0.05327055287053691,-0.033391914718917316,-0.1703711225209042,0.03158414015181759,-0.20960305005796914,0.13436471209197756,0.1110328610983753,-0.15515307505761208,-0.06966267794516197,-0.11413795539964511,0.06879048983298798,0.050852767167626794,0.06459536317128603
bpe_E_transports_pour1000,-0.09213378391900223,-0.019022045298698637,0.11097252534617913,-0.016573456800049968,-0.12446632081144371,-0.26765649703834876,0.09084984595204451,-0.031115990758874404,0.3112837217730775,0.03309044152544682,0.09077784759151003,-0.00236086438641943,-0.004739277609216682
bpe_F_sports_culture_pour1000,0.08679832162595824,0.04785400277491283,-0.1056833788734689,-0.16534021911318664,0.011519144833844674,0.03144904960321033,-0.015218494208574886,-0.2035092639835367,0.1939845839563328,0.38632089642576717,0.013208989411109047,-0.0781868024111042,0.0045536537791470155
bpe_G_tourisme_pour1000,-0.008612680261354384,-0.03284936192070646,-0.17862488290990355,-0.14487661880865305,-0.14459562744779716,-0.06575230361107523,0.12948038176403148,-0.0021543993093712734,0.03477562416287342,0.26954362953179545,-0.035063390046544116,0.15928500990908395,-0.09647152780330365
bpe_educ_prioritaire_pour1000,-0.06840094153000482,0.10651951665896284,0.03886764457564807,0.003997328619062044,0.05467062779326894,-0.0831141205602745,0.112718338463428,-0.09567641656108178,0.021921540004249937,0.02073116707523427,0.12166727126622968,-0.0675131363291754,0.04457892326561819
bpe_ecole_privee_pour1000,-0.025537807261018727,-0.022442327834748876,-0.06769948196467697,-0.005896735774676753,-0.01354755602768015,0.18654934123063854,0.01609538513963053,-0.2258340778658858,-0.03532536720783327,-0.13584171771727577,-0.014391420674396568,-0.41522057546195096,0.2792555113204614
bpe_sport_indoor_pour1000,0.03505823646282791,0.03422192793183097,-0.0740831729215021,-0.03730575772877697,-0.037252718928497915,0.16976312370398042,0.05471436211495906,-0.3248514847943358,0.2575921448882955,0.2782473642057805,-0.02984726893310511,-0.19557402911437777,-0.026324193652882105
pct_sport_accessible,-0.0029626391780112208,0.015866329692526857,0.0353198866641833,0.047276332095998255,-0.011348486379883534,0.06619883709344565,-0.01270458927014681,-0.0869913052036413,0.030235228511164752,-0.05389446233868877,-0.1011925754139594,-0.1635264584822399,-0.3567222895485058
