,national,MACRON,LE_PEN,MELENCHON,ZEMMOUR,PECRESSE,JADOT,ROUSSEL,HIDALGO,DUPONT_AIGNAN,AUTRE,ABSTENTION
pct_voiture_2plus,36.96764313586648,37.16936493483406,41.03926790102978,31.644098594947216,37.13393932808798,37.37727767522761,35.570754140309596,37.416768178898806,36.82949740518185,40.72169598722793,41.03462878249385,34.633744887910474
surface_moyenne,86.30367258139125,86.76674393412692,90.01269243804455,80.95580379365647,86.41038971740092,87.27319642745344,84.78434774200099,86.77241674138176,86.39917800533053,89.69312840118536,90.47961681756185,84.14800091427506
pct_suroccupation,34.77920531169805,34.68472330523288,29.72457902537661,40.85673179407277,35.06929603302012,35.32693770698079,36.37188250928201,32.953566974070796,33.8054184144196,31.161682637065912,30.079199863883616,36.33610552435052
pct_chauffage_elec,35.950631581541906,36.162503700769456,35.94825839759443,34.62355407366971,37.93565162635882,36.38916231082254,37.23106536174805,35.3719327911104,36.34432809305308,36.09079485352787,36.73143794391892,34.99036260896356
pct_chauffage_fioul,9.000739490482479,9.04581836031298,10.396138827516028,7.101500801539009,9.036224257802711,9.705484878249642,8.274804416728085,8.846960838454626,8.75208600677081,10.648304937709915,10.707615261273462,8.247942949962207
pct_chauffage_gaz_ville,38.99829454556352,39.315207880274095,34.27405528934068,45.64715187663451,37.64900416535842,37.67461186822793,40.308850537673884,39.03067331776939,38.81554612489758,34.153778410785115,31.50284416103572,42.2948252958022
pct_chauffage_gaz_bouteille,1.5754141017738246,1.536841142491473,1.844367848487689,1.252071735037887,1.594555415546448,1.6252860266510016,1.4454572069499512,1.6007891490167343,1.5606240134243397,1.829243937128843,2.0226248217455782,1.4154479822438295
pct_chauffage_autre,14.474920280638292,13.939628916151996,17.537179637061175,11.375721513118878,13.784564534933613,14.605454916048886,12.739822476900015,15.149643903648855,14.527415761854213,17.277877860848257,19.03547781202633,13.051421163028197
pct_garage,68.84109406764797,69.74464563774906,71.96857827237748,63.31104393022011,69.34960883063854,70.14477129404038,68.4197238207108,69.04741636160239,69.11086475036052,72.502799793722,72.10212777149265,66.23933209672835
nb_pieces_moyen,4.097180618646756,4.110511764871248,4.276990824538147,3.8720374124993544,4.069638239917781,4.120383258317961,4.010087121603171,4.141634858592528,4.096769098419831,4.238210970036224,4.269855252495009,4.015343289296059
pct_studios,4.953234903178515,5.203269396088836,3.2322706326583885,6.393544954416709,5.165383592857416,5.296517648944224,6.2390957809871175,4.390663636761849,5.189437165998817,3.8030745453192742,3.603022148928622,5.192626122773237
pct_logements_5p_plus,38.05444095892328,38.74105070440333,42.09091385953655,32.34710024576007,37.32663343822737,38.937721184673144,36.679278708477604,38.946322886027,38.31999449385665,41.39593417043706,42.003045837877934,35.71820372441787
bpe_total_pour1000,40.094426221975944,40.47512558374896,39.18741707788177,39.28663463783917,42.448687852893265,41.76634131422882,40.66884266185037,39.31696570554892,40.286751544822835,39.799018680899685,41.094924211766056,40.201377625480184
bpe_A_services_pour1000,18.716577539214217,18.62647918965668,18.881251750205905,18.03883249142875,20.00961421224016,19.26199593232527,18.659152932714072,18.28628344339796,18.44465005609448,19.052071462194945,19.56677368442271,18.574567180085953
bpe_B_commerces_pour1000,5.405661932127161,5.624800108782897,5.033897152400676,5.303662082703557,5.875473484935626,5.855630988392704,5.679343795702546,5.190302797413099,5.454190495674621,5.172957704573474,5.2278582846924655,5.5409641069395414
bpe_C_enseignement_pour1000,1.1449480160031702,1.139733926668544,1.134706947723648,1.1526235712086699,1.130557425004002,1.155990725594537,1.1438121148625668,1.1543695104018912,1.1778984144321842,1.1377042753712283,1.1890319575970012,1.1553537202909325
bpe_D_sante_pour1000,9.004301982614281,9.34332051571543,8.345771949345366,8.964964948882768,9.575003819797558,9.485462292612702,9.607376755847163,8.852485202911236,9.44753816090511,8.501264831856679,8.661661101561382,9.19528881974251
bpe_E_transports_pour1000,1.2472132921329602,1.1706786733607422,0.9855868343704302,1.728186155003443,1.2330896776671925,1.1911107155978689,1.1663116868543988,1.1471402228279919,1.0526844862671938,1.070519129195289,0.9548322254591622,1.3469607855215244
bpe_F_sports_culture_pour1000,3.5950148405648705,3.52759034875802,3.9992213675979005,3.111252945790565,3.499651179625423,3.6802065609668837,3.3130372344650527,3.7763208782815116,3.7012381056498866,3.9707796455552185,4.469041641367882,3.410690618671719
bpe_G_tourisme_pour1000,0.6355068661462272,0.6749370646241323,0.5727762015449731,0.5761826384215871,0.7300097148864707,0.7541025762232362,0.688078901584077,0.6018841569672913,0.6398276335926336,0.6287579255078496,0.7203891418765962,0.6168809162684956
bpe_educ_prioritaire_pour1000,0.09036433696397317,0.0667456177638724,0.08719026100977693,0.1505425600246965,0.06752693036401268,0.051472409653307995,0.05573980790930962,0.09811405527305571,0.07176738385536693,0.06406302855868613,0.06719077444013952,0.12221127681572702
bpe_ecole_privee_pour1000,30.302673588826266,34.229768986017504,24.954456737494414,29.411863945420404,31.629882988201626,35.252204243279294,36.09229249406303,27.833595539948146,32.42518784911717,27.7380647582478,27.002326971604248,30.881455975210493
