CODE_IRIS,inscrits,votants,abstentions,blancs,nuls,exprimes,RN,UXD,EXD,LR,DVD,DVC,HOR,UDI,UG,LFI,PS,DVG,EELV,PCF,EXG,REG,AUTRE,score_RN,score_UXD,score_EXD,score_LR,score_DVD,score_DVC,score_HOR,score_UDI,score_UG,score_LFI,score_PS,score_DVG,score_EELV,score_PCF,score_EXG,score_REG,score_AUTRE,pct_abstention,score_blanc,score_nul
028100401,1644,793,851,9.0,6,778,318,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,40.87,0.0,0.0,0.0,0.0,59.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.76,1.16,0.77
028210000,557,450,107,2.0,1,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19.21,0.45,0.22
030820101,2850,1838,1012,27.0,23,1788,0,0,0,0,0,854,0,0,0,0,0,934,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,47.76,0.0,0.0,0.0,0.0,0.0,52.24,0.0,0.0,0.0,0.0,0.0,35.51,1.51,1.29
030820102,852,508,344,9.0,8,491,0,0,0,0,0,194,0,0,0,0,0,297,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,39.51,0.0,0.0,0.0,0.0,0.0,60.49,0.0,0.0,0.0,0.0,0.0,40.38,1.83,1.63
030820103,771,464,307,3.0,10,451,0,0,0,0,0,220,0,0,0,0,0,231,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,48.78,0.0,0.0,0.0,0.0,0.0,51.22,0.0,0.0,0.0,0.0,0.0,39.82,0.67,2.22
030930000,905,627,278,3.0,1,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,30.72,0.48,0.16
031010101,2742,1702,1040,31.0,41,1630,0,0,0,0,0,783,0,0,0,0,0,847,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,48.04,0.0,0.0,0.0,0.0,0.0,51.96,0.0,0.0,0.0,0.0,0.0,37.93,1.9,2.52
031010102,966,592,374,9.0,12,571,0,0,0,0,0,256,0,0,0,0,0,315,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,44.83,0.0,0.0,0.0,0.0,0.0,55.17,0.0,0.0,0.0,0.0,0.0,38.72,1.58,2.1
031010103,3361,1980,1381,38.0,42,1900,0,0,0,0,0,937,0,0,0,0,0,963,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,49.32,0.0,0.0,0.0,0.0,0.0,50.68,0.0,0.0,0.0,0.0,0.0,41.09,2.0,2.21
031550000,1403,920,483,23.0,14,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,34.43,2.6,1.59
031850101,1899,1118,781,15.0,18,1085,0,0,0,0,870,0,0,0,215,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,80.18,0.0,0.0,0.0,19.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.13,1.38,1.66
031850102,2325,1266,1059,18.0,34,1214,0,0,0,0,928,0,0,0,286,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,76.44,0.0,0.0,0.0,23.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.55,1.48,2.8
031850103,758,436,322,9.0,10,417,0,0,0,0,286,0,0,0,131,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68.59,0.0,0.0,0.0,31.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.48,2.16,2.4
031850104,1109,694,415,8.0,10,676,0,0,0,0,520,0,0,0,156,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,76.92,0.0,0.0,0.0,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.42,1.18,1.48
031850106,914,468,446,16.0,10,442,0,0,0,0,329,0,0,0,113,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,74.43,0.0,0.0,0.0,25.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.8,3.62,2.26
031850107,893,394,499,5.0,12,377,0,0,0,0,297,0,0,0,80,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,78.78,0.0,0.0,0.0,21.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.88,1.33,3.18
031850108,1007,466,541,8.0,14,444,0,0,0,0,341,0,0,0,103,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,76.8,0.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.72,1.8,3.15
031850109,2180,1258,922,12.0,29,1217,0,0,0,0,917,0,0,0,300,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75.35,0.0,0.0,0.0,24.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.29,0.99,2.38
